   MacBook        
 "ArrayList: H" "ArrayList: J"  "LinkedList: H" "LinkedList: J"  "Vector: H" "Vector: J"  "ArrayDQ: H" "ArrayDQ: J"
Winter 960000 19024000  1099000 19633000  12915000 20639000  713000 19436000
 835000 19165000  1017000 20363000  1432000 20038000  1157000 21210000
 995000 19416000  987000 19314000  747000 19585000  771000 21136000
 966000 19822000  1010000 19835000  1158000 19404000  1088000 21942000
 1014000 19462000  803000 19725000  1123000 19418000  758000 19720000
 1000000 19483000  657000 19999000  734000 24320000  1131000 19539000
 732000 19439000  991000 19809000  891000 21135000  1045000 24387000
 1016000 19612000  622000 21443000  1161000 21199000  779000 21053000
Average: 939750 19427875  898250 20015125  2520125 20717250  930250 21052875
           
Low 1347000 19252000  1158000 19619000  1359000 19878000  1276000 22992000
 1275000 19439000  1251000 19680000  1333000 20962000  1301000 21074000
 1171000 19509000  1152000 19767000  1386000 23202000  1331000 21451000
 1266000 19715000  1138000 19708000  858000 23337000  1301000 21012000
 1133000 19693000  711000 19952000  1168000 21240000  1330000 20936000
 1233000 19656000  1144000 19725000  910000 19351000  1113000 21032000
 971000 19517000  1148000 19779000  3498000 21005000  1446000 21103000
 1223000 19990000  1122000 19699000  1348000 21373000  846000 20909000
Average: 1202375 19596375  1103000 19741125  1482500 21293500  1243000 21313625
           
Medium 773000 19770000  695000 19872000  610000 21055000  841000 21277000
 760000 19723000  528000 19822000  829000 22822000  828000 21457000
 551000 20156000  690000 22797000  730000 21163000  677000 19898000
 738000 19682000  704000 20460000  881000 21173000  650000 21532000
 723000 20719000  520000 19735000  851000 24437000  718000 21111000
 729000 25777000  523000 19765000  773000 19660000  636000 21129000
 733000 19639000  699000 19885000  1033000 21118000  885000 21312000
 722000 19654000  696000 19889000  697000 21999000  828000 21207000
Average: 716125 20640000  631875 20278125  800500 21678375  757875 21115375
"Avg of Avgs:" 952750 19888083  877708 20011458  1601042 21229708  977042 21160625
   "Lab Computers"        
 "ArrayList: H" "ArrayList: J"  "LinkedList: H" "LinkedList: J"  "Vector: H" "Vector: J"  "ArrayDQ: H" "ArrayDQ: J"
Winter 231148 16878684  254325 15182087  413540 14995325  330542 15206451
 262336 19153789  253951 15495087  370658 15312019  342270 15242560
 227928 17403816  258596 15732961  436783 15031452  342211 15038833
 193904 16676084  302783 15485301  366308 15904407  342234 15005656
 205293 18607924  299673 15195523  356223 15282379  318402 15173207
 205264 17188662  278661 16082609  416909 14851986  334755 15393051
 211298 16449490  292140 15825846  362378 15033631  314511 14955457
 240605 17515808  268384 15561458  402466 15534437  342989 15077204
Average: 222222 17484282  276064 15570109  390658 15243204  333489 15136552
           
Low 215529 15406685  293425 15350226  399861 14905993  343753 15239107
 204504 14921789  279879 15334010  368464 15138362  330547 15319638
 214387 15006908  260417 15171729  373542 15062409  377630 15149619
 215864 15372283  270565 15512753  402829 15053548  391037 15285047
 210716 14963362  256794 16308508  346173 14994563  343497 15254956
 227481 15201663  259573 15661410  394863 15846214  325395 15140214
 213638 15186643  256109 15538564  363290 14977375  365103 15342752
 199637 15268826  281727 15290837  387774 15250355  323795 14933696
Average: 212719 15166019  269811 15521004  379599 15153602  350094 15208129
           
Medium 197604 15250012  292647 15300824  359606 15124112  373366 15680533
 210225 15037881  277723 15187404  230579 15816345  324886 15094302
 209301 16754943  275659 15375751  388088 14895810  364727 14945807
 189462 15267193  263400 16286042  379963 15063846  324425 15180810
 189719 18417722  273166 15759113  369192 15149056  309645 15212767
 189407 15240742  288580 15644727  420805 15461055  330140 14963629
 219085 15364867  292209 15837658  351404 15459849  307162 15494405
 191443 15480782  263872 15674426  366565 15045702  319672 15046275
Average: 199531 15851767  278407 15633243  358275 15251971  331753 15202316
"Avg of Avgs:" 211490 16167356  274760 15574785  376177 15216259  338445 15182332
