   MacBook        
 ArrayList:H ArrayList:J  LinkedList:H LinkedList:J  Vector:H Vector:J  ArrayDQ:H ArrayDQ:J
Winter 960000 19024000  1099000 19633000      
 835000 19165000  1017000 20363000      
 995000 19416000  987000 19314000      
 966000 19822000  1010000 19835000      
 1014000 19462000  803000 19725000      
 1000000 19483000  657000 19999000      
 732000 19439000  991000 19809000      
 1016000 19612000  622000 21443000      
Average: 939750 19427875  898250 20015125      
           
Low 1347000 19252000  1158000 19619000      
 1275000 19439000  1251000 19680000      
 1171000 19509000  1152000 19767000      
 1266000 19715000  1138000 19708000      
 1133000 19693000  711000 19952000      
 1233000 19656000  1144000 19725000      
 971000 19517000  1148000 19779000      
 1223000 19990000  1122000 19699000      
Average: 1202375 19596375  1103000 19741125      
           
Medium 773000 19770000  695000 19872000      
 760000 19723000  528000 19822000      
 551000 20156000  690000 22797000      
 738000 19682000  704000 20460000      
 723000 20719000  520000 19735000      
 729000 25777000  523000 19765000      
 733000 19639000  699000 19885000      
 722000 19654000  696000 19889000      
Average: 716125 20640000  631875 20278125      
